school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered
HORIZON PRIMARY SCHOOL,http://www.horizonpri.moe.edu.sg,61 EDGEDALE PLAINS,828819,67535411,na,67523971,na,horizon_ps@moe.edu.sg,Punggol MRT Station,"83, 85, 3",MDM GRACE HO LI JUN,MR OW EU GENE JOHN,MDM SENTHIL POONKODI D/O R K,na,na,na,Confident Individuals Responsible Citizens,To nurture every child to lead their lives responsibly and to contribute with joy.,na,PUNGGOL,NORTH,NORTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,na
CANTONMENT PRIMARY SCHOOL,http://www.cantonmentpri.moe.edu.sg,1 CANTONMENT CLOSE,88256,65119555,na,65119556,na,cantonment_ps@moe.edu.sg,Tanjong Pagar Outram,na,MDM WONG MEI FOONG,MISS SABARIAH BTE SUBARI,MR OH CHEE BENG,na,na,na,"Concerned citizens, innovative thinkers, inspired for excellence, service and influence",To nurture and empower our pupils to realise their potential and aspirations so as to have a positive and significant impact in the school and community,na,BUKIT MERAH,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"MODULAR CCA (SWIMMING,SPORT-CLIMBING, PHOTOGRAPHY)"
FRONTIER PRIMARY SCHOOL,http://www.frontierpri.moe.edu.sg,20 JURONG WEST STREET 61,648200,65789555,na,67908596,na,frontier_ps@moe.edu.sg,Pioneer MRT Station (EW28),241,"MR KOH CHIN THONG, MARTIN",MR SYAMSUL ANWAR BIN AWANG,MR GOH GIN HOWE,na,na,na,Confident Thinkers.  Adaptable Learners. Passionate Leaders.,"We develop every Frontierer to reflect deeply, embrace differences and serve as a role model to overcome future challenges.","Strong Fundamentals, Future Learning",JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,na
WESTWOOD PRIMARY SCHOOL,http://www.westwoodpri.moe.edu.sg,1 JURONG WEST STREET 73,649188,64121690,na,67945084,na,westwood_ps@moe.edu.sg,Boon Lay MRT Station,"181, 502 & 243",MR NG YEOW LING,MISS TRACY TAN I- LIAN,MR CHIN HONG FAI HUMPHREY,na,na,na,A positive institution in Jurong West that inspires the community to lead meaningful and engaged lives,To provide positive education that nurtures thriving teachers and flourishing pupils,"Westwood Primary was founded in 2013, premised on the core philosophy of Positive Education.  Our overarching goal is for our staff and pupils to strive for both excellence and wellbeing, and for our school community to thrive and flourish.  Learning is delivered with positive engagement so as to invite every pupil on a journey of discovery and holistic development.  Discipline is promoted in a respectful way to engender self-reflection and growth.  By emphasising positive motivation and affirmative attitudes, we nurture an awareness of greatness and potential in each and every staff and pupil, as they set personalised goals and ultimately demonstrate creative expression, problem-solving, and meaningful achievement.    In keeping with the philosophy of Positive Education, Westwood Primary's Staff Belief is that Every One is a Talented and Unique Individual with Potential for Success. Our Westwood School Culture is one of care, love and drive, and we aspire in going the extra mile in everything we do.  To enable all staff and pupils to believe that he or she can be an agent of change, with opportunities to use his or her talents and skills to benefit others, our positive school culture is grounded in our core values of A Heart of Gratitude, A Resilient Mindset, A Passion for Community and A Future-Ready Confidence.  A THRIVE Framework for Positive Education has been developed to ensure that school policies, practices and programmes are aligned to the six key domains of positive accomplishment (Thinking mindfully); positive health (Healthy coping); positive relationship (Relating well); positive engagement (In the moment); positive meaning (Values-driven actions); and positive emotions (Emotions of positivity).  To this end, we actively partner parents and the wider community, seeking opportunities to contribute to community life, while living out the message of positivity, hope and well-being.",JURONG WEST,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na,"Aligned with positive education, our student development programmes serve to develop our pupils' resilience and  promote an understanding of his or her own strengths.  We also focus on optimism and on the importance of doing social good.  Accordingly, our signature school programmes are as follows:   Applied Learning Programme (Positive Design & Innovation):  With inter-disciplinary project work as a platform, pupils learn about the principles of positive design and thinking protocols, and explore how their ideas and observations can be turned into useful designs and solutions that benefit their peers and their community.   Learning for Life Programme (Student Leadership & Community Service): Throughout their time in Westwood Primary, every child is given an opportunity for leadership, and comprehensive training and mentoring is provided to support each child is their leadership journey. Westwoodians are also given many opportunities to give back to their community via class-wide and level-wide programmes.   Holistic Learning, Assessment and Reporting: Westwood Primary has adopted a whole-school approach towards holistic assessment, aligning PERI-HA practices with its founding philosophy of Positive Education. Formative Assessment (FA) practices are adopted in all classrooms, so as to promote learner engagement and ensure every child has a voice. Positive questioning and process praise help children to focus on the process of learning.  Westwood Primary also engages parents in Holistic Assessment, via the annual Teacher-Parent-Pupil Conference, where pupils share what and how they have learnt with their parents, prompting authentic discussions that involve each child in personalised learning.   Programme for Active Learning (PAL) for Lower Primary Pupils:  Our PAL Framework is guided by VIP principles, with the programme being Values-Driven, Incorporating Innovative Learning and being Positive-Education-focused."
PUNGGOL GREEN PRIMARY SCHOOL,http://www.punggolgreenpri.moe.edu.sg,98 PUNGGOL WALK,828772,65383011,na,65383210,na,admin_punggolgreen_ps@moe.edu.sg,Punggol,na,MDM CHUA LAY TIN,MR GOH CHANG CHUEN,MDM TAN BETTY,na,na,na,"Every PGPS Student, A Future-Ready Leader","Engaging Learners, Nurturing Leaders, Empowering Givers",na,PUNGGOL,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,na
PUNGGOL VIEW PRIMARY SCHOOL,http://www.punggolviewpri.moe.edu.sg,9 PUNGGOL PLACE,828845,6570 1588,na,6570 3680,na,punggolview_ps@moe.edu.sg,Punggol MRT Station,50 382,MR TAY HSIEN CHUAN KELVIN,MR CHUA CHYE HOCK,MDM LAI SOO HONG,na,na,na,"Confident Learners, Active Citizens  After 6 years of Education@Punggol View, our students would have grown their MESCAP domains to the fullest and glow to become persons of character who are good and useful citizens of tomorrow. Persons of character possess both moral and performance character. In other words, our students will grow to be the best that they can be and always striving to Do the Right Things and Give of one's Best.","Touching Lives,Inspiring Future  To nurture the whole child through a values-based, holistic education in a caring and rich learning environment so that our students will become persons of character who are good and useful citizens of tomorrow     To nurture the whole child through a values-based, holistic education in a nurturing and rich learning environment so that our students will become persons of character who are good individuals and useful citizens of tomorrow","We adopt the Starfish Story as our philosophy to guide and inspire us to make a difference in the lives of our students, staff and stakeholders.   We believe in nurturing the whole child by guiding our students to develop their moral, emotional, social, cognitive, aesthetic and physical (MESCAP) domains to the fullest so that they will become persons of character who are good and useful citizens of tomorrow.",PUNGGOL,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Living Out our Values Every day (LOVE), Creative LEGO, Outdoor Education, Robotics, Contemporary / Ethnic Dance, Writers' Tea Programme and Sports Appreciation & Development (Wushu, Badminton, Tag Rugby and Floorball)"
SENGKANG GREEN PRIMARY SCHOOL,http://www.sengkanggreenpri.moe.edu.sg/,15 FERNVALE ROAD,797636,63864255,na,62428796,na,sengkanggreen_ps@moe.edu.sg,Fernvale LRT (SW5) - (Sengkang West Loop),"Sengkang and Toa Payoh interchange - no 163, Along Yio Chu Kang Road, - no 70, 86, 103 and 854.Punggol Temp Interchange to Bishan Interchange - Bus 50",MDM LEONG BENG YUET DAPHNE,MR LIM JIT HIN,MDM MARY YAP PEI IMM,na,na,na,Vibrant School Culture of Care Spirit of Excellence,"To nurture healthy and happy individuals with strength of character, ready to serve, ready for the future.",na,SENG KANG,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Speech & Drama
SPRINGDALE PRIMARY SCHOOL,http://www.springdalepri.moe.edu.sg/,71 ANCHORVALE LINK,544799,+65 63157600,na,+65 63153351,na,springdale_ps@moe.edu.sg,Nearest MRT station: - Sengkang MRT (NE16) *10-15 mins walk from MRT station,Nearest Bus Stop Opposite Blk 317B: - Bus 85 (from Punggol Temp Int) - Bus 372 (from Sengkang Int) *1-2 mins walk from bus stop number no. 67389 *Enter by Main Gate along Anchorvale Link or Rear G,MDM KOH SIEW CHENG,MDM JAYANTHI D/O RETNAM,MR CHAN SOON HUA,na,na,na,"Every Springdalite is a Secure Individual, a Leader of Self-worth and a Significant Citizen.","To engage young minds, mould their character and equip them for the future.","The school programmes are guided by our education philosophy of Play.Passion.Purpose (3Ps). Every child is encouraged to explore and discover new knowledge through experiential and authentic learning. Through such creative Play, students make sense of the things around them, discover the joy of learning and develop a spirit of inquiry and intellectual curiosity. The drive to go deeper into the discipline evolves naturally as students develop a Passion for what they are learning. Appreciating and applying what they have learnt, this would kindle within them a sense of Purpose and over time, spur them on to make a difference in their future pursuits.  Our GREAT ethos of Growth, Radiance, Empathy, Abundance and Truth guides the school in its culture-building process.",SENG KANG,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"The school is embarking on the Applied Learning Programme (ALP) from 2015. The emphasis of the programme is dual-prong; with teaching and learning using integrated curriculum (across and/or within disciplines) and within authentic and meaningful contexts. Opportunities are given to all students to engage in out-of-door learning experiences throughout their primary school years. The programme will revolve around 3 recurring strands of the Eco-Trail, Outdoor Education and Learning Journey."
PALM VIEW PRIMARY SCHOOL,http://www.palmviewpri.moe.edu.sg,150 COMPASSVALE BOW,544822,65087300,na,68754150,na,palmview_ps@moe.edu.sg,Buangkok,"27,43,109,156,159,161,163,163M,550",MR CHUA KOK YONG CLIFFORD,MDM TOO SIEW HAN JOYCE,MS SAADIAH SAADON WYLDE,na,na,na,"Curious Minds, Caring Hearts, Creative Spirits",To develop the whole child to be a force for good in the world,na,SENG KANG,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na,na
RIVERSIDE PRIMARY SCHOOL,http://www.riversidepri.moe.edu.sg,110 WOODLANDS CRESCENT,737803,63654490,na,63654460,na,riverside_ps@moe.edu.sg,Admiralty MRT Station,Bus No 913 and Bus No 964,MDM BOEY HUEY PENG SHARON,MDM KHOO PHAIK HOON REGINA,MDM NEO BEE BEE,na,na,na,"Riverians are Joyful and Productive Learners and Connected Citizens of Good Character. Riverians will SPARKLE with Strength of character, Perseverance, Adaptability, Responsibility, Kindness, Leadership, Enthusiasm and Sincerity.","Riverside Primary School builds a strong foundation for life for Riverians by offering a holistic, balanced, relevant and creatively delivered curriculum experience. We nurture our pupils in a safe and health-promoting school environment; a vibrant and stimulating learning space; and with a positive school tone of care, respect and discipline.",na,WOODLANDS,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Character and Citizenship Education (CCE); Form Teacher's Guidance Period (FTGP); The House System; Programme for Active Learning (PAL); Values in Action (VIA); Student Leadership Development; 3Rs (Reading, Research, Reflection) Programme; R.Expressions; PlayWorks (e.g. PaperWorks and LegoWorks)"
WEST SPRING PRIMARY SCHOOL,http://www.westspringpri.moe.edu.sg,60 BUKIT PANJANG RING ROAD,679946,63144192,na,na,63140648,westspring_ps@moe.edu.sg,Jelapang LRT,"920, 922",MDM PHAN SWEE LIN SHERIN JACINTA,MDM NUR SABARIAH BTE MOHD IBRAHIM,na,na,na,na,"Every pupil will experience mastery in his or her own learning, thereby allowing him or her to succeed in life.",West Spring Primary School aims to adopt inter-disciplinary teaching and learning approaches to arouse curiosity in young minds and to ignite in them the desire to learn.,na,BUKIT PANJANG,WEST,WEST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Play-based learning approach is characterised by design of the school and classroom environments and the available teaching and learning resource to capture, sustain and extend the pupils# enjoyable experience that helps them construct and reconstruct new meanings."
ALEXANDRA PRIMARY SCHOOL,http://alexandrapri.moe.edu.sg,2A PRINCE CHARLES CRESCENT,159016,62485400,na,62485409,na,alexandra_ps@moe.edu.sg,Redhill Station  Tiong Bahru Station,"51, 139, 186, 970.",MDM CHEW BEE LAY,MISS CHAN YAN HOON,MDM NORAINI BTE MANSOOR,na,na,na,"Reflective Learner, Empathic Designer and Inspiring Leader.","We create a caring, safe and stimulating school environment where each child can grow and glow.  We seek to build in our students a strong foundation in literacy and numeracy, as well as equip them with the attitude, values and 21st century skills to be future-ready and to engage the world while remaining rooted to Singapore.","Every child matters, is unique, and has the potential to make a difference.   Every staff member is an asset, has different strengths, and wants to contribute. Every parent and community partner is a valuable contributor in nurturing the child to G.L.O.W.",BUKIT MERAH,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Cultural Intelligence (CQ) Environmental Education
NORTHOAKS PRIMARY SCHOOL,http://www.northoakspri.moe.edu.sg,61 SEMBAWANG DRIVE,757622,6753 8835,na,6753 8864,na,northoaks_ps@moe.edu.sg,Sembawang MRT,Bus number 962,MRS THERESA HONG-NG,MISS TAN YIT PENG,MDM LEE SOOK FUN EVELYN,na,na,na,Learning and Leading with HEART,"Instilling Core Values, Igniting the Love for Learning, Inspiring Excellence",na,SEMBAWANG,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,na
ANGSANA PRIMARY SCHOOL,www.angsanapri.moe.edu.sg,3 TAMPINES STREET 22,529366,67830427,na,67845293,na,angsana_pri@moe.edu.sg,Tampines and Simei Stations,"Bus Service 8, 17, 18, 28, 34, 39, 59, 518, Feeder Bus Service 292",MISS FOONG YIN WEI,MRS SELINA LEE,MR BHIMBAHADUR GURUNG,na,na,na,"Confident Leaders, Active Citizens","To Engage and Empower all pupils to be future-ready and to go above and beyond to care, learn and serve","Angsana Primary School provides a safe, nurturing environment for our pupils.  Our school delivers a comprehensive curriculum that prepares our pupils for future challenges with a strong foundation in literacy and numeracy.  We guide our pupils to express themselves through language, visual and performing arts, and physical activities that are challenging and engaging.    We take pride in running a comprehensive Character Education programme.  Through fun and innovative lessons, pupils learn good moral values and develop positive traits that will empower them to make sound decisions in life, and to be nurtured into responsible and upright citizens.  Here we set the stage for lifelong learning. Our staff will give emphasis to the development of competencies that will be essential for the pupils to thrive and succeed.  Angsana Primary School focuses not only on how well our teachers are teaching but also on how well our pupils are learning.  We seek to ignite our pupils' passion for learning through meaningful and quality school experiences.",TAMPINES,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Arts Alive at Angsana, Beyond Boundaries, Character Counts, Programme for Active Learning (PAL), Learning Support Programme for English and Mathematics, Reading Remediation Programme (RRP), School-based Dyslexia Programme (SDR),"
PUNGGOL COVE PRIMARY SCHOOL,http://www.punggolcovepri.moe.edu.sg/,52 SUMANG WALK,828674,63857339,na,63857261,na,punggolcove_ps@moe.edu.sg,Nibong LRT Station,na,"MR YAP SWEE BENG, DENNIS",MISS THIA HWEI LING SHARON,na,na,na,na,"Every student an educated child and contributing citizen, ready to serve and lead.","Nurturing the Whole Child, Growing Future Leaders",Motto: To Serve To Lead,PUNGGOL,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,na
OASIS PRIMARY SCHOOL,http://www.oasispri.moe.edu.sg/,71 EDGEFIELD PLAINS,828716,6320 9855,na,6320 9856,na,oasis_ps@moe.edu.sg,Damai LRT Station,"50, 386",MRS ONG-CHEW LU SEE,MR NG BUCK CHWEE,na,na,na,na,"Passionate Learners, Caring Leaders",To build a community of learners - inspiring self and others to lead with a heart,"SHINE@OASIS Like the northern star, our staff and students are strongly grounded on R3ICH values. Guided by their internal compass, they lead themselves confidently, both in words and actions. In a fast-changing world, our people relentlessly stay true to their purpose, just like the cosmic compass. That is to: Serve with a Heart and INspire Everyone",PUNGGOL,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na,"1) The Leader in Me Programme The school is adopting a two-pronged approach in the teaching of 7 habits namely through explicit teaching and integration of the 7 habits into the curriculum. For explicit teaching, teachers who are trained will engage the students through thoughtfully designed activities. To ensure pervasiveness in the school, the habits are reinforced through curriculum integration with different focus at different levels. With pervasive implementation of -The Leader in Me, every child will be able to manage and lead self, as well as others confidently. This arises from strong self and social awareness, the ability to manage relationship and make responsible decisions - all of which are important attributes of a Confident Person.  2) Golf Exposure,Jump Rope Skipping and Fusion of ARt and Music (FARM) Students develop an awareness of golf etiquette and the value of sportsmanship, respect & perseverance by: - Learning the fundamentals of golf swings, functions of various clubs & understanding its rules. - Learning to play in personal and social spaces responsibly & fulfilling obligations of a team player. Students develop fine psychomotor skills & the confidence to perform individually & in teams by: - Learning the fundamentals of rope skipping - Learning to skip in personal & social spaces responsibly Like a farm where animals are cultivated and bred, FARM provides an inviting learning environment where opportunities abound for students: - to grow in their  capacities through deepening their understanding and appreciation of music and art. - to immerse in opportunities to exude their creativity and expression."
WATERWAY PRIMARY SCHOOL,www.waterwaypri.moe.edu.sg,70 PUNGGOL DRIVE,828802,6636 6880,na,6315 3451,na,waterway_ps@moe.edu.sg,Kadaloor LRT Station,50,MRS WEE KWAN LIAM,MR HOY KIN CHUNG EDWIN,na,na,na,na,"A Life-long Learner, A Gracious Citizen",To build a vibrant environment that nurtures young minds and builds upright character,"We believe that education must prepare a child for life and work in the future.  We want to develop in our pupils the passion, the skills and the aptitude for learning so that they will be self-directed to learn, know how to learn and be always ready to acquire new knowledge and skills.   We want to build character in our pupils so that they will grow up with sound values, be confident persons doing what is good and right, taking care of their family, working well with others and contributing to society.    We believe in working in partnership with parents so that together we provide the best education possible for children to grow and develop right attitudes, beliefs, values and behaviour.",PUNGGOL,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na,"We provide a holistic education for our pupils to prepare them for life and work in the future. We want learning to be fun and meaningful. Some of our key programmes include:  Toastmasters: Toastmasters is a six-year programme to nurture pupils to be gracious persons, engaging communicators and confident leaders.   Approach - Experiential learning, peer learning, role-modelling and coaching from mentors. Lessons include dramatisation, storytelling, topical sharing, news writing, literature appreciation, programme hosting, persuasive speaking, debating and interview skills.  Pre-Assembly Morning Sharing: Sharing every morning before the start of school on a wide range of subjects such as current affairs, world events, science, art and music to expose pupils to the world outside their classroom and Singapore.     Programme for Active Learning (PAL): PAL is conducted within curriculum time and consists of a series of activities under the two broad domains of Sports & Outdoor Education and Performing (Music & Dance) and Visual Arts.   Through fun and experience with the arts, PAL aims to develop pupils' confidence, curiosity and skills of working with others.  Some of the modules include Sports & Games, Creative Dance, Outdoor Experiential Learning & Discovery and Music.  Chinese Language Enrichment Course: A fun-filled and activity-based programme for pupils to develop an interest and appreciation of the Chinese Language and culture. Values are taught through classics (Di Zi Gui) --- Standards for Being a Good Pupil and Child.  Flip Classroom: The Flipped Classroom inverts traditional teaching methods, delivering instructions through Info-communication Technology platforms outside of the classroom. With this, concept engagement and application is done in class with teacher facilitation."
FIRST TOA PAYOH PRIMARY SCHOOL,http://www.firsttoapayohpri.moe.edu.sg,7 LORONG 8 TOA PAYOH,319252,62567822,na,62561102,na,FTPPS@MOE.EDU.SG,Braddell & Toa Payoh Stations,"157,153,105,159,88,FS238",MR CHUA CHOON GUAN,MDM LOW LEE CHERN,MDM TAY YAM ENG,na,na,na,A Caring and Creative Community in the Pursuit of Excellence,To nurture every child to his best.,na,TOA PAYOH,SOUTH,SOUTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Art Programme, Character Development Programme, Conversational Chinese and Malay languages, Pupil Leadership Development Programme, Sports Programme,  ICT Programme, Implementation of SEED and STELLAR  for P1-2, School-wide pedagogy in Cooperative Learning"
MACPHERSON PRIMARY SCHOOL,http://www.macphersonpri.moe.edu.sg/,2 MATTAR ROAD,387724,67461516,na,67485754,na,MPPS@MOE.EDU.SG,Aljunied MRT Macpherson MRT,"40,63,65,66,135,154,155",MRS KO-TAN LI LING,MISS SHARON CLARISSA LEE HUI CHIN,MISS CHOONG PEI CHIN,na,na,na,THE FUN LEARNING PLACE@MACPHERSON  -MacPherson Primary School is the fun   place of learning for everyone. -We will be recognised for fostering   creativity and enterprise. - We will provide opportunities for everyone to achieve - We will build pride and respect in our staff and pupils.,"MOULDING LIVES, CREATING THE FUTURE  -Moulding our pupils to be men and   women of honour, excellence and    nobility. -Imbuing in our pupils the skills and mindset  needed for the 21st century. -Inculcating in our pupils a love for   our fellowmen and nation.",na,GEYLANG,EAST,EAST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Programme for Active Learning (Modular Enrichment Programme Within Curriculum Time) Sports Modular Programme (Swimming, Softball)"
NEW TOWN PRIMARY SCHOOL,http://www.newtownpri.moe.edu.sg/,300 TANGLIN HALT ROAD,148812,64748805,na,64741249,na,NTPS@MOE.EDU.SG,Commonwealth MRT Station,"SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855",DR NG SIEW PENG IRENE,MDM KHOO SU LIEN REGINA,MR ONG SZE CHONG BRYAN,MDM TAY PUA HONG JODIE,na,na,"Learning beyond Borders, Caring beyond Self - To provide value-added education by addressing learning needs and stretching abilities  - To provide value-driven education through character development and active citizenry","We nurture passionate learners, strong in character - To provide all round education for life-long learning  - To nurture character to be useful citizens",na,QUEENSTOWN,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Academic - E-Learning, Early Intervention.  Pupil Welfare- Counselling, Latchkey, Character Development prog.  Creative Connections - Writing cum Immersion Prog. Aesthetics - Integrated P1,2 Performing Arts Prog. E- Music  Active Citizenry-Community Involvment Project, Service Learning,Go Green"
BOON LAY GARDEN PRIMARY SCHOOL,www.boonlaygardenpri.moe.edu.sg,20 BOON LAY DRIVE,649930,63160998,na,63160209,na,BLGPS@MOE.EDU.SG,Lakeside & Boon Lay,"30,99,154,178,180,187,240,246",MRS ONG LOH JIA MIIN,MDM KITHA D/O ARUMUGAM,MDM HOONG WHEE SIEN,na,na,na,The Garden where diversity blossoms,Together we nurture for a better future,na,JURONG WEST,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,DOUBLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,*Technology & Innovation<BR>*Star Pupil Award<BR>*Values in Action<BR>*Environment Education<BR>*Thinking Curriculum - Habits of Mind<BR>
MARSILING PRIMARY SCHOOL,http://www.marsilingpri.moe.edu.sg,31 WOODLANDS CENTRE ROAD,738927,62696193,na,62699050,na,MARSILING_PS@MOE.EDU.SG,Marsiling MRT Station,"856, 911, 912",MISS CHEE CHUERN HWEI CHERYL,MISS ESTHER ONG CHIN CHIN,MDM FOO HUEY YING,na,na,na,"Every Marsilian can Learn, Lead and Serve",Nurturing Responsible Learners and Compassionate Leaders,"OUR PHILOSOPHY In Marsiling Primary, we believe that developing the 21st century competencies and the focus on meaningful student engagement will enhance our students# cognitive and affective development, and eventual success in life. We will continue to inculcate the right values in our students and equip them with knowledge and skills so as to prepare them to face the challenges of the future. Through comprehensive academic and co-curricular programmes, anchored on student centric and values-driven learning, we hope to nurture the students to achieve their potential. At the end of their 6 years in MPS, we want to see our students grow to become Responsible Learners and Compassionate Leaders ready to serve community and nation as active young citizens.  OUR SCHOOL VALUES The school values are encapsulated in the acronym #R#IC#E# (Respect, Responsibility, Integrity, Commitment, Care and Esprit de Corps). Like a staple diet, R#IC#E is infused into both the formal and informal curriculum of the school.  OUR SCHOOL MOTTO The school motto #Ilmu Suluh Hidup# (translated to mean #Knowledge lights up our Lives#), as reflected in the school crest, continues to be of relevance today. The white represents virtue and good character, while the blue is symbolic of a peaceful and harmonious environment. The four interlocking rings represent our closely-knit multi-racial school population working in harmony. The stalk of padi is symbolic of hard work and effort required for success. The star reflects the belief we have that every student can achieve and education (symbolized by the pen), will blaze the way (as shown by the torch) for our students.",WOODLANDS,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"COMMUNITY SERVICE & STUDENT LEADERSHIP LEAD (Learn, Engage, Absorb, Demonstrate) to Serve @ MPS  In MPS, we share a common belief in nurturing responsible learners and compassionate leaders who can learn, lead and serve. We strive to instil in every Marsilian our core values of R#IC#E (Respect, Responsibility, Integrity, Commitment, Care and Esprit de Corps) and nurture responsible active citizenship through service leadership. This is espoused in our Citizenship and Character Education or CCE#s vision of #Every Marsilian a Service Leader and Green Citizen#.   To foster a student-centric, values-driven learning environment, CCE in Marsiling Primary is anchored on two core programmes # Values in Action (VIA) and student leadership vis-#-vis Green Citizenship & LEAD to SERVE respectively. VIA is practised through our Green Citizenship programme which engages students in initiating collective actions among peers in doing simple acts of taking care of the school and environment.  The school#s student leadership programme #LEAD to Serve@MPS# focuses on developing the individual capacity to lead and influence others with respect, responsibility, care and appreciation."
PEI TONG PRIMARY SCHOOL,http://www.peitongpri.moe.edu.sg/,15 CLEMENTI AVENUE 5,129857,67775458,na,67789784,na,PTPS@MOE.EDU.SG,Clementi,"7, 184, 282",MRS NG- TEO SOCK HUA,MDM HONG GAY LEE,MR WINSTON TAN WEE SING,na,na,na,A vibrant school that inspires excellence,To nurture confident and self-directed learners who exhibit social responsibility and character,na,CLEMENTI,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Programme for Active Learning, Active Recess, Future clasrooms, E-learning Programme,IT Achievement Programme, Social Emotional Learning Framework"
YUHUA PRIMARY SCHOOL,http://www.yuhuapri.moe.edu.sg,158 JURONG EAST STREET 24,609558,65605062,na,65648278,na,YUHUA_PS@MOE.EDU.SG,"Jurong East, Bukit Batok","98,98A,187,333,502,507,NR5",MDM TENG LAI KWAN,MDM HEATHER SIM SIAW CHENG,MR LAU YEAN HUI,na,na,na,"Yuhualite - One who Cares, Shares and Contributes One who Learns, Thinks and Innovates",Growing Our Hearts and Minds,na,JURONG EAST,WEST,WEST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Critical and Crative Thinking Programme, Learning Support Programme,Buddy Reading Programme,IT Enrichment,Cultural Immersion Programmes,Character and Citizenship Programmes, FLIGHT"
